,,,
,ELENCO CREDITI aggiornati fino al Campionato Slalom formula challenge 2026,,
,Pilota,Auto,CREDITI
1,Andrea Sanna,Ford ka Trofeo,16000
2,Vincenzo Matrone,Fiat 127 S3,18000
3,Giuseppe Lupo,Peugeot 106 racing start 1400,54000
4,Andrea Di Florio,Fiat 500 gr5,10000
5,Alessandro Broccoli,Peugeot 106 racing start 1400,14000
6,Giovanni Massa,Peugeot 106 N1600,11000
7,Francesco Castagna,Mini Cooper racing start 1600,11000
8,Gabriele Passalacqua,Peugeot 106 racing start 1600,17000
9,Francesco D'Acunto,Fiat 127 S3,11000
10,Salvo Lo Faro,Citroen Saxo racing start 1600,14500
11,Antonio Peditto,Peugeot 106 N1600,36000
12,Gennaro Durante,Citroen Saxo racing start 1600,10000
13,Mattia Abate,Citroen Saxo racing start 1600,12000
14,Umberto Mozzi,Renault Clio rs 2000,12000
15,Armando Luongo,Peugeot 106 grN 1600,66250
16,Alberto Ergazzori,Peugeot 106 rs plus 1600,43000
17,Luca Arru,Peugeot 106 rs plus 1600,27000
18,Raffaele Fruscio,Renault Clio N 2000,24000
19,Pasquale Marciano,Peugeot 106 plus1600,10000
20,Giuseppe Gentile,Kart Cross Speed Car,10000
21,Roberto Giraldi,Kart Cross Speed Car,14000
22,Giuseppe Esposito,Kart Cross Speed Car,11000
23,Angelo Cavaliere,Renault Clio N 2000,9400
24,Andrea Guarracino,Peugeot 106 grN 1600,28250
25,Paolo Garzia,Peugeot 106 N1600,15400
26,Corrado Manara,Peugeot 106 N1400,24050
27,Francesco Valenti,Clio Williams N2000,18250
28,Baldo Curatolo,Clio Williams N2000,20250
29,Giovanni Scala,Peugeot 106 N1600,16250
30,Flavio Uccello,Peugeot 106 N1400,21200
31,Carmine Barbone,Clio Williams N2000,12250
32,Davide Boato,Clio Williams N2000,10400
33,Luca Sammartino,Peugeot 205 N2000,7700
34,Daniele Perlati,Peugeot 106 N1600,13850
35,Valentino Nicoletti,ps_peugeot_106_n_1600,21000
36,Riccardo Motta,Peugeot 106 racing start 1600,19000
37,Gabriele Serse,ps_peugeot_106_plus_1400,38500
38,Giuseppe Filippello,Peugeot 106 racing start 1600,14000
39,Massimo Impellizzeri,Citroen Saxo racing start 1600,13000
40,Salvatore Benintende,Citroen Saxo racing start 1600,12000
41,Giuseppe Finocchiaro,ps_peugeot_106_n_1600,9000
42,Vincenzo Savoni,ps_peugeot106_rsplus1400,21000
43,Luca Schepisi,Clio Williams racing start 2000,12000
44,Mattia Mollica,Peugeot 205 N1400,11000
45,Carmelo Ottinà,Peugeot 205 N1400,10000
46,Claudio Pasculli,Peugeot 106 racing start 1400,20000
48,Domenico Balestra,Peugeot 106 racing start 1400,15000
49,Loris Giamboi,Peugeot 106 racing start 1400,24000
50,Giuseppe Leoci,Peugeot 106 racing start 1400,13000
51,Davide Fontana,ps_peugeot_106_rs_1600,21000
52,Giammarco Quirino,ps_peugeot106_rsplus1400,17500
53,Giovanni Aloi,ps_peugeot_106_plus_1400,18500
54,Esposito Antonino,ps_citroen_saxo_rs_1600,14000
55,Motta Riccardo,ps_peugeot_106_rs_1600,27000
56,Tricoli Roberto,Peugeot 205 A1400,10000
57,Mirko Galliano,ps_peugeot_106_plus_1400,21000
58,antonino miano,ps_clio_williams_rs_2000,16000
59,Graziano Minichello,ps_clio_williams_rs_2000,13000
60,Antonino Briguglio,ps_clio_williams_rs_2000,12000
61,Manuel Romano,ps_peugeot_106_rally_grn_1300,16000
62,Manlio Palmeri,ps_peugeot_106_rally_grn_1300,14000
63,Giuseppe Zappalà,ps_peugeot_106_plus_1400,9000
64,De Rosa Francesco,ps_peugeot_205rallye_n1400,10000
65,Domenico Agosta,ps_peugeot_106_rally_grn_1300,9000
66,Loris Di Tuccio,ps_peugeot_106_rally_grn_1300,22000
67,Edoardo Morvillo,ps_peugeot106_rsplus1600,18000
68,Domenico Agosta,ps_peugeot_106_rally_grn_1300,9000
69,Antonino Ciampa,ps_peugeot_106_rs_1600,14000
70,Giacomo Viteritti,ps_peugeot_106_rs_1600,13000
71,Marco Romano,ps_peugeot_106_rally_grn_1300,18000
72,Angelo Arma,ps_peugeot_106_rally_grn_1300,11000
73,Jury Pallagrosi,ps_peugeot_106_rally_grn_1300,10000
74,Giuseppe Prisco,ps_peugeot_106_rally_grn_1300,9000
75,Luca Cipollone,ps_peugeot_106_rally_grn_1300,8000
76,Emanuele Nardiello,ps_peugeot_106_rally_grn_1300,7000
